content;chart data
source;MeasurementChart_1
machine no.;265995
program;Uni Kassel
filename;Uni Kassel_MeasurementChart_1__2024_06_05__15_51_36.txt
time;2024_06_05__15_51_36
data complete;yes
-header-
signals;4
plotting points;498
delay;0.00
sampling rate;0.0300
-column description-
s;bar;bar;cm³;cm³/s
time;Einspritzdruck, Soll;Einspritzdruck, Ist;Schneckenvolumen, Ist;Einspritzstrom, Ist
;p3001S;p3001I;V3001I;Q3001I
-start data-
0.0000;1200;55;117.5;52.20
0.0300;1200;57;115.6;63.08
0.0600;1200;59;113.6;66.34
0.0900;1200;97;111.7;65.26
0.1200;1200;145;109.7;66.34
0.1500;1200;185;107.7;66.34
0.1800;1200;219;105.6;66.34
0.2100;1200;243;103.7;66.34
0.2400;1200;260;101.7;65.26
0.2700;1200;280;99.7;64.17
0.3000;1200;318;97.9;61.99
0.3300;1200;360;96.0;61.99
0.3600;1200;399;94.2;60.91
0.3900;1200;431;92.4;57.64
0.4200;1200;460;90.5;60.91
0.4500;1200;482;88.6;64.17
0.4800;1200;495;86.7;63.08
0.5100;1200;502;84.8;63.08
0.5400;1200;506;83.0;61.99
0.5700;1200;508;81.2;60.91
0.6000;1200;512;79.3;60.91
0.6300;1200;515;77.4;61.99
0.6600;1200;516;75.5;61.99
0.6900;1200;517;73.7;60.91
0.7200;1200;516;71.9;59.82
0.7500;1200;517;70.1;58.73
0.7800;1200;518;68.3;59.82
0.8100;1200;519;66.5;58.73
0.8400;1200;521;64.7;58.73
0.8700;1200;524;63.0;57.64
0.9000;1200;531;61.2;58.73
0.9300;1200;535;59.4;59.82
0.9600;1200;539;57.6;59.82
0.9900;1200;543;55.8;59.82
1.0200;1200;545;53.9;59.82
1.0500;1200;549;52.2;58.73
1.0800;1200;552;50.4;58.73
1.1100;1200;555;48.6;59.82
1.1400;1200;558;46.7;59.82
1.1700;1200;559;44.9;60.91
1.2000;1200;561;43.1;59.82
1.2300;1200;561;41.3;59.82
1.2600;1200;564;39.5;59.82
1.2900;1200;565;37.7;58.73
1.3200;1200;567;35.9;58.73
1.3500;1200;570;34.2;58.73
1.3800;1200;574;32.4;58.73
1.4100;1200;578;30.6;58.73
1.4400;1200;583;28.8;59.82
1.4700;1200;586;27.0;59.82
1.5000;1200;591;25.1;59.82
1.5300;1200;589;23.4;56.56
1.5600;1200;570;22.2;43.50
1.5900;486;521;21.3;28.28
1.6200;391;451;21.1;7.61
1.6500;296;364;21.1;1.09
1.6800;250;314;21.1;0.00
1.7100;250;284;21.1;0.00
1.7400;250;268;21.1;0.00
1.7700;250;261;21.1;0.00
1.8000;250;254;21.1;0.00
1.8300;250;248;21.1;1.09
1.8600;250;240;21.0;2.18
1.8900;250;235;20.9;2.18
1.9200;250;227;20.9;1.09
1.9500;250;218;20.9;1.09
1.9800;250;214;20.8;1.09
2.0100;250;209;20.8;1.09
2.0400;250;207;20.7;1.09
2.0700;250;205;20.6;2.18
2.1000;250;204;20.5;2.18
2.1300;250;201;20.4;3.26
2.1600;250;202;20.3;3.26
2.1900;250;203;20.2;4.35
2.2200;250;203;20.0;4.35
2.2500;250;204;19.9;4.35
2.2800;250;206;19.7;4.35
2.3100;250;206;19.6;4.35
2.3400;250;209;19.4;5.44
2.3700;250;211;19.2;4.35
2.4000;250;213;19.1;5.44
2.4300;250;216;18.9;5.44
2.4600;250;218;18.7;5.44
2.4900;250;221;18.5;5.44
2.5200;250;224;18.3;5.44
2.5500;250;227;18.2;5.44
2.5800;250;229;18.0;5.44
2.6100;250;230;17.8;5.44
2.6400;250;233;17.7;5.44
2.6700;250;235;17.5;4.35
2.7000;250;236;17.4;4.35
2.7300;250;239;17.2;4.35
2.7600;250;240;17.1;4.35
2.7900;250;242;17.0;4.35
2.8200;250;242;16.8;4.35
2.8500;250;243;16.7;3.26
2.8800;250;246;16.6;3.26
2.9100;250;247;16.5;3.26
2.9400;250;248;16.4;3.26
2.9700;250;249;16.3;3.26
3.0000;250;250;16.2;2.18
3.0300;250;251;16.1;3.26
3.0600;250;251;16.0;3.26
3.0900;250;251;15.9;2.18
3.1200;250;252;15.8;2.18
3.1500;250;252;15.7;2.18
3.1800;250;251;15.7;2.18
3.2100;250;250;15.6;1.09
3.2400;250;250;15.6;1.09
3.2700;250;250;15.5;2.18
3.3000;250;250;15.4;1.09
3.3300;250;250;15.4;1.09
3.3600;250;251;15.3;1.09
3.3900;250;249;15.3;1.09
3.4200;250;250;15.2;1.09
3.4500;250;250;15.2;1.09
3.4800;250;249;15.2;1.09
3.5100;250;251;15.1;1.09
3.5400;250;250;15.1;1.09
3.5700;250;251;15.0;1.09
3.6000;250;250;15.0;1.09
3.6300;250;250;14.9;1.09
3.6600;250;249;14.9;1.09
3.6900;250;251;14.9;1.09
3.7200;250;252;14.8;1.09
3.7500;250;251;14.8;1.09
3.7800;250;251;14.7;1.09
3.8100;250;250;14.7;1.09
3.8400;250;250;14.7;1.09
3.8700;250;248;14.6;1.09
3.9000;250;251;14.6;1.09
3.9300;250;249;14.6;1.09
3.9600;250;251;14.5;1.09
3.9900;250;250;14.5;1.09
4.0200;250;250;14.5;1.09
4.0500;250;248;14.4;1.09
4.0800;250;251;14.4;1.09
4.1100;250;251;14.4;0.00
4.1400;250;251;14.3;1.09
4.1700;250;250;14.3;0.00
4.2000;250;249;14.3;0.00
4.2300;250;250;14.3;0.00
4.2600;250;250;14.2;0.00
4.2900;250;250;14.2;0.00
4.3200;250;251;14.2;0.00
4.3500;250;250;14.2;0.00
4.3800;250;250;14.1;0.00
4.4100;250;250;14.1;1.09
4.4400;250;250;14.1;0.00
4.4700;250;250;14.1;0.00
4.5000;250;250;14.0;0.00
4.5300;250;251;14.0;0.00
4.5600;250;249;14.0;0.00
4.5900;250;248;14.0;0.00
4.6200;250;250;13.9;1.09
4.6500;250;250;13.9;0.00
4.6800;221;250;13.9;0.00
4.7100;164;227;13.9;0.00
4.7400;107;200;14.0;-1.09
4.7700;135;165;14.3;-8.70
4.8000;143;178;14.3;-1.09
4.8300;60;169;14.3;-1.09
4.8600;60;161;14.5;-3.26
4.8900;60;154;14.6;-4.35
4.9200;60;146;14.8;-4.35
4.9500;60;141;15.0;-5.44
4.9800;60;133;15.1;-5.44
5.0100;60;126;15.3;-5.44
5.0400;60;117;15.5;-5.44
5.0700;60;108;15.7;-5.44
5.1000;60;118;15.9;-7.61
5.1300;60;125;16.3;-9.79
5.1600;60;126;16.7;-11.96
5.1900;60;127;17.1;-14.14
5.2200;60;124;17.6;-15.23
5.2500;60;123;18.1;-16.31
5.2800;60;118;18.6;-16.31
5.3100;60;114;19.2;-17.40
5.3400;60;111;19.8;-18.49
5.3700;60;109;20.3;-18.49
5.4000;60;105;20.9;-19.58
5.4300;60;100;21.6;-19.58
5.4600;60;97;22.2;-19.58
5.4900;60;96;22.8;-20.66
5.5200;60;94;23.4;-20.66
5.5500;60;90;24.1;-20.66
5.5800;60;88;24.7;-20.66
5.6100;60;86;25.4;-21.75
5.6400;60;82;26.1;-21.75
5.6700;60;81;26.7;-21.75
5.7000;60;80;27.4;-21.75
5.7300;60;77;28.1;-21.75
5.7600;60;76;28.7;-21.75
5.7900;60;73;29.4;-21.75
5.8200;60;73;30.1;-21.75
5.8500;60;69;30.7;-21.75
5.8800;60;69;31.4;-21.75
5.9100;60;67;32.1;-21.75
5.9400;60;66;32.7;-21.75
5.9700;60;66;33.4;-21.75
6.0000;60;64;34.1;-21.75
6.0300;60;63;34.7;-21.75
6.0600;60;63;35.4;-21.75
6.0900;60;63;36.1;-21.75
6.1200;60;62;36.8;-21.75
6.1500;60;61;37.4;-21.75
6.1800;60;62;38.1;-21.75
6.2100;60;61;38.8;-21.75
6.2400;60;61;39.4;-21.75
6.2700;60;60;40.1;-21.75
6.3000;60;60;40.7;-21.75
6.3300;60;61;41.4;-21.75
6.3600;60;59;42.0;-20.66
6.3900;60;59;42.7;-20.66
6.4200;60;59;43.3;-20.66
6.4500;60;60;44.0;-20.66
6.4800;60;61;44.6;-20.66
6.5100;60;60;45.2;-20.66
6.5400;60;60;45.9;-20.66
6.5700;60;61;46.5;-20.66
6.6000;60;61;47.2;-21.75
6.6300;60;59;47.8;-21.75
6.6600;60;60;48.5;-21.75
6.6900;60;62;49.1;-20.66
6.7200;60;60;49.8;-20.66
6.7500;60;63;50.4;-20.66
6.7800;60;62;51.0;-20.66
6.8100;60;62;51.7;-20.66
6.8400;60;61;52.3;-20.66
6.8700;60;61;52.9;-20.66
6.9000;60;60;53.5;-19.58
6.9300;60;62;54.1;-19.58
6.9600;60;60;54.7;-20.66
6.9900;60;61;55.4;-19.58
7.0200;60;61;56.0;-20.66
7.0500;60;61;56.6;-20.66
7.0800;60;61;57.3;-20.66
7.1100;60;60;57.9;-19.58
7.1400;60;61;58.5;-20.66
7.1700;60;61;59.1;-20.66
7.2000;60;59;59.8;-20.66
7.2300;60;60;60.4;-20.66
7.2600;60;60;61.0;-20.66
7.2900;60;59;61.7;-20.66
7.3200;60;60;62.3;-20.66
7.3500;60;61;62.9;-19.58
7.3800;60;61;63.5;-19.58
7.4100;60;61;64.1;-20.66
7.4400;60;61;64.8;-20.66
7.4700;60;61;65.4;-20.66
7.5000;60;61;66.0;-20.66
7.5300;60;61;66.6;-20.66
7.5600;60;61;67.3;-21.75
7.5900;60;59;67.9;-20.66
7.6200;60;61;68.5;-20.66
7.6500;60;61;69.2;-20.66
7.6800;60;61;69.8;-20.66
7.7100;60;61;70.5;-19.58
7.7400;60;60;71.1;-20.66
7.7700;60;61;71.7;-20.66
7.8000;60;61;72.4;-20.66
7.8300;60;61;73.0;-20.66
7.8600;60;60;73.7;-20.66
7.8900;60;60;74.3;-20.66
7.9200;60;60;75.0;-21.75
7.9500;60;60;75.6;-21.75
7.9800;60;61;76.2;-20.66
8.0100;60;60;76.9;-20.66
8.0400;60;60;77.5;-20.66
8.0700;60;61;78.2;-20.66
8.1000;60;61;78.8;-20.66
8.1300;60;60;79.4;-20.66
8.1600;60;62;80.0;-20.66
8.1900;60;62;80.7;-19.58
8.2200;60;61;81.3;-19.58
8.2500;60;61;81.9;-19.58
8.2800;60;61;82.5;-19.58
8.3100;60;61;83.1;-19.58
8.3400;60;61;83.7;-20.66
8.3700;60;60;84.3;-19.58
8.4000;60;59;84.9;-19.58
8.4300;60;60;85.6;-19.58
8.4600;60;61;86.2;-19.58
8.4900;60;60;86.8;-20.66
8.5200;60;62;87.4;-20.66
8.5500;60;61;88.0;-20.66
8.5800;60;61;88.7;-20.66
8.6100;60;61;89.3;-20.66
8.6400;60;62;89.9;-20.66
8.6700;60;62;90.6;-20.66
8.7000;60;62;91.2;-20.66
8.7300;60;62;91.8;-20.66
8.7600;60;63;92.4;-19.58
8.7900;60;62;93.1;-19.58
8.8200;60;63;93.7;-19.58
8.8500;60;61;94.3;-20.66
8.8800;60;61;94.9;-20.66
8.9100;60;62;95.6;-20.66
8.9400;60;61;96.2;-20.66
8.9700;60;62;96.8;-20.66
9.0000;60;61;97.4;-20.66
9.0300;60;60;98.1;-20.66
9.0600;60;60;98.7;-20.66
9.0900;60;61;99.4;-20.66
9.1200;60;61;100.0;-20.66
9.1500;0;83;100.2;-6.53
9.1800;-542;87;100.2;0.00
9.2100;-542;90;100.2;0.00
9.2400;-542;66;100.3;-1.09
9.2700;-542;53;100.6;-8.70
9.3000;-542;36;101.2;-18.49
9.3300;-542;13;102.0;-26.10
9.3600;-542;-7;102.9;-30.45
9.3900;-542;-23;103.9;-31.54
9.4200;-542;-37;104.9;-32.63
9.4500;-542;-35;105.9;-32.63
9.4800;-542;-34;106.9;-32.63
9.5100;-542;-36;107.8;-30.45
9.5400;-542;-35;108.7;-29.37
9.5700;-542;-36;109.5;-28.28
9.6000;-542;-35;110.4;-28.28
9.6300;-542;-36;111.2;-26.10
9.6600;-542;-36;112.0;-26.10
9.6900;-542;-37;112.8;-26.10
9.7200;-542;-37;113.5;-26.10
